,Unnamed: 0,artist,title,label,rank,week_start,week_end,genre,year,month,lyrics
Man lässt sich nicht auf kleine Hunde ein, während man Euros häuft
2018, das Jahr, indem ich alles neu formierte
Brachte Life is Pain nach oben, obwohl sie mich boykottierten
Brachte Life is Pain nach oben, obwohl es nur Bela gab
Während mein altes Ego auf DMT in 'nem Keller saß
Ab jetzt bin ich zurück, ihr habt ein'n reichen Wichser vor euch
Eines Tages wird sich zeigen, wer Macht hat und wer vortäuscht
Schick' euch Pisser zurück in die Matrix, so wie Morpheus
'Ne Ansage von PA sorgt dafür, dass es sofort läuft
Jeder fragt mich, was die letzten Jahre los war nach dem Guilty-Diss
Von hinten wurde rumgesägt, doch Bruder, das ist nichts für mich
Die Szene positioniert sich beim Hype und nicht beim besten Verse
Doch alles scheißegal, es war schon immer me against the world
Die Wahrheit findet ihren Platz gerne bei einer Minderheit
Die Lüge ist zuhause zwischen Champagner im VIP-Bereich
Wär deutscher Rap 'ne Karre, wären drei Mille der Listenpreis
Erzähl mir alle nichts, ihr wisst doch selber, dass ihr Bitches seid
Geht doch eh nur darum, wer grade die besseren Karten hat
Kriege gewinnst du, wenn du grad den besseren Namen hast
Jeder pusht die Lüge, wenn irgendjemand die Wahrheit sagt
Doch alles auszusprechen gehörte für mich zum Arbeitstag
Spiegel' euch hier grade mein Inneres, Bruder, gar kein Spaß
Wenn sie dich fragen, wer im Ruhrpott King ist, dann sag mein'n Namen
Jeder zweite Essener, der heute das Spiel mitspielt
Kam aus meiner Schule, ist alles easy, doch keep it real
Sie fragen, warum ich mich beschwere, denn ich bin selber rich
Zähl 'ne Milliarden Streams im Katalog, doch hab' dieselbe Sicht
Denn deutscher Rap ist immer noch dieselbe Bitch
Und wird von irgendwelchen Junkiekindern im Hotel gefickt
Jeder macht dieselben Geräusche und ihr lacht über denselben Witz
Jeder Hit der letzten Jahre war für mich derselbe Hit
Jeder dieser neuen Rapper ist für mich dasselbe Kind
Wo sind die wahren Helden hin? Ich glaube, diese Welt ist blind
Immer noch dieselben Hintermänner für dieselben Rapper
Die sich nicht ma' selbst bestimm'n, weil alles mit dem Geld beginnt
Dein Selfie-Pic auf Instagram ist nur Momentaufnahme
Ich hol' dich runter auf den Boden, Dicka, Rechtsauslage
Der Punkt ist da, an dem ich mir selber mein Cash auszahle
Geht die Firma pleite, dann wird die Ware gestreckt auf Waage
Frankreich ist eigenständig, Amis sind eigenständig
Nur die Deutschen sind am kopieren, denn sie hab'n kein Verständnis
Davon, wie man deutschem Rap endlich ein Unikat verpasst
Ich reiße dieser Industrie heute sämtliche Kabel ab
Sie labern Schwachsinn, bei Jamule wäre der Vertrag geplatzt
Zur selben Zeit häng'n wir beide mit unsern Jungs in Barça ab
Von hintenrum wollten sie allesamt an meine Artists ran
Doch was ihr nicht versteht, ist, dass man Messi nicht bezahlen kann
Jeder auf dem Label ein Unikat, alles Superstars
Sind die Deals zu Ende, holt sich jeder seinen Kuchen ab
Ich linke meine Brüder nicht, dachte schon immer brüderlich
Will, dass sie jeden meiner Fehler seh'n und selber klüger sind
Inshallah habt ihr eines Tages alle selber Labels
Kann sein, dass Kianush das letzte Album von PA bringt
Kann sein, dass Fourty mich irgendwann mit auf Tour mitnimmt
Jeder hat sein Nasip, Gott ist der, der unsren Kurs bestimmt
Ihr wollt nicht versteh'n, dass wir nicht so wie diese Huren sind
Fick mal auf Verträge, Mann, wir gucken, was die Zukunft bringt
Hamza ist mit Anfang zwanzig mehr Mann als die halbe Szene
Du kennst meinen Bunker, Bruder, kill sie alle, falls ich gehe
Rua spittet jeden von euch Pissern in die Hemisphäre
Hab' 'ne Menge Pläne, lak, LiP ist das beste Label
Auch wenn ihr das Auto meiner Eltern um halb elf verbrennt
Bevor ihr einen Cent bekommt, wird das ganze Geld verschenkt
LKA ermittelt, überleg' mir meine Schritte
Klär'n wir's auf der Straße oder in der deutschen Mitte?
Bei mir geht es um Million'n, wir sind nicht irgendwelche Fische
Jeder Kodex ist gefickt, werden die Eltern angegriffen
Saß für Monate in U-Haft, sprach noch nie mit den Gerichten
Doch hier geht es nicht um snitchen, hier geht's darum, euch zu ficken
Ohne fünfzehn Jahre sitzen unser Leben zu vernichten
Vor euch steht ein echter Mann, ich lass' mich von euch nicht vergiften
Die wahre Bitch ist die, die euch bezahlt für so Geschichten
Um auf Instagram zu flexen mit Gangstern in der Liste
Dicka, Rap ist meine Waffe, wenn mich irgendetwas stört
Werd' die Wahrheit immer bring'n, auch wenn ihr sie nicht gerne hört
Komm' im Eifer des Gefechtes, die Zeilen sind mein Vermächtnis
Beseitige deine Wackness, denn keiner schreibt mit der Technik
Seh' weit und breit keinen Exit, reiß' dich in Teile und fress' dich
Der weiße Hai kommt und rächt sich, ich bleibe frei, unbestechlich
Die Einzelheiten sind lästig, doch Scheiße und Scheiße deckt sich
Nur 31er-Fressen, hab' Seiten frei auf der Blacklist
Der Michael Knight in dem Rap-Shit, verteile Blei, wenn es Stress gibt
Zerreiße live ohne Hektik den Einheitsbrei der Top-Ten-List
Ich scheiß' auf peinliche Faggots, die Eier zeigen per Message
Bring sie auf die Bühne, ich kill' sie reihenweise wie Kendrick
Bin ride-or-die ohne Grenzen, guck, meine Leistung ist Champion
Du scheißt dir gleich in die Pampers, der Hype ist leider zu Ende
In einer Welt, in der Faker und Blender dreckig feiern
Ist Life is Pain das einzige Label mit echten Eiern

"
11970,11970,gent feat. kurdo,100 k,alpha empire,71,25.01.2019,31.01.2019,deutschrap,2019,25,"

[Songtext zu „100 K“]

[Intro]
Alpha Music

[Part 1: Gent]
Champions League, was für Oberliga?
Lass' sie Arsch wackeln wie dein Unterkiefer
Wir kommen zum Treffen nur mit Großkaliber
Drücke ab, keine Mimik wie ein Poker-Spieler
Oft kopiert, nie erreicht, so wie die Mona Lisa
Und ich jag' dir Paranoia ein, so wie bei Kokaina
Großverdiener, Shoki, ich mach' locker Lila
Bretter' im geklauten Siebener mit Kurdo nach Prishtina
Sag mir, wo sind deine Dealer? Breche Nasen für Sativa
Presse Ware für Alpina, roll' im Ghetto, trag' Adidas
Gulags kriegen keine Feature, ich bin anderes Kaliber
Importware aus Belgica, Slemani bis nach Drenica
Da, wo ich lebe, gibst du Teufel die Hand
Ich hör' auf meine Eier, und das ein Leben lang
Nur mein Vater, der mir reinreden kann
Wenn die Sonne nicht mehr scheint, fängt der Bleiregen an

[Hook: Gent & Kurdo]
Früher wollt' ich hundert Riesen bar
Heute bin ich Star, was sind hundert Riesen, Bra?
Du willst deine Schulden nicht bezahl'n
Doch dein Unterkiefer zahlt, was sind hundert Riesen, Bra?
Früher konnt' ich keine Miete zahl'n
Heute muss ich nicht mehr spar'n, was sind hundert Riesen, Bra?
Ich kam von der schiefen Bahn
Zu hundert Riesen bar, was sind hundert Riesen, Bra?

[Part 2: Kurdo]
Wir komm'n in Nike-Sneaker, ficken deine Kreisliga
Ficken deinen Label-Boss plus dein scheiß Feature
Mach den Beat ghetto, auch wenn es nicht passt
Scheiß' auf Rap, solang die Schlampe für mich tanzt
Aus der Gosse, kein Hype, keine Welle
Ich bleib' da, schreibe Bars für die Birras in der Zelle
Häng' am Block ab, mein Style bleibt locker
Ob in Jeans oder Jogger, ob in Frees oder Mokka
Komm' auf die Sonnenbank mit dem Shqipe rein
Und mach' 'n Sandwich mit deiner Schwester auf Kabine drei
Du willst chill'n? Wir schicken dich zum Zahnarzt
Du kriegst Uppercuts von Kurdi und ein'n Highkick vom Albaner
Wir sind wie dein Aids-Test
Rapper machen Ansagen über Telefon wie Kahbas aus BaseChat
Hundert Riesen, damit wir nie wieder fliehen müssen
Kurdo, Gent, Generation Satellitenschüssel

[Hook: Gent & Kurdo]
Früher wollt' ich hundert Riesen bar
Heute bin ich Star, was sind hundert Riesen, Bra?
Du willst deine Schulden nicht bezahl'n
Doch dein Unterkiefer zahlt, was sind hundert Riesen, Bra?
Früher konnt' ich keine Miete zahl'n
Heute muss ich nicht mehr spar'n, was sind hundert Riesen, Bra?
Ich kam von der schiefen Bahn
Zu hundert Riesen bar, was sind hundert Riesen, Bra?

"
51659,51659,anna-maria zimmermann,100.000 leuchtende sterne,electrola,60,24.06.2011,30.06.2011,deutschrap,2011,24,"

[Songtext zu „100.000 leuchtende Sterne“]

[Intro]
Wir haben hunderttausend leuchtende Sterne gesehn

[Refrain]
Wir haben hunderttausend leuchtende Sterne gesehn
Für diese drei kleinen Worte mussten erst Jahre vergehn

[Strophe 1]
Wir haben uns tausendmal gesehn
Und nichts dabei gedacht
Hundert Nächte sind wir durchgedreht
Haben tausendmal gelacht

[Pre-Refrain]
Ob wirklich alles anders wird enscheidet diese Nacht
Setzte alles aufs Spiel und hoff', dass du mich glücklich machst

[Refrain]
Wir haben hunderttausend leuchtende Sterne gesehn
Für diese drei kleinen Worte mussten erst Jahre vergehn

[Strophe 1]
Das plötzlich alles anders war
Hat mich eiskalt erwischt
Tausendmal hab ich mein Herz gefragt
Ob es daran zerbricht

[Pre-Refrain]
Ob wirklich alles anders wird, enscheidet diese Nacht
Ich setzte alles aufs Spiel und hoff', dass du mich glücklich machst

[Refrain]
Wir haben hunderttausend leuchtende Sterne gesehn
Für diese drei kleinen Worte mussten erst Jahre vergehn

[Bridge]
Hunderttausend
Hunderttausend

[Refrain]
Wir haben hunderttausend leuchtende Sterne gesehn
Für diese drei kleinen Worte, mussten erst Jahre vergehn
Wir haben hunderttausend leuchtende Sterne gesehn
Für diese drei kleinen Worte, mussten erst Jahre vergehn
Mussten erst Jahre vergehn

"
42649,42649,prinz pi feat. casper,100x,keine lieb,50,15.03.2013,21.03.2013,deutschrap,2013,15,
13966,13966,marteria & casper,1982 (als ob's gestern war),zwei bernds tanken super,67,07.09.2018,13.09.2018,deutschrap,2018,9,"

[Part 1: Casper]
Als ob's gestern war, von Atlanta nach Extertal
Nicht allzu lang nach der Wende war's
Damals in Almena, konnte die Sprache kaum
Drei Geschwister, kleines Zimmer, Mom auf Ausklappcouch
Das einzige Schlüsselkind im Deutschlernkurs
Hing heim allein, bis 19 Uhr
Als ob's gestern war
Lieg im Etagenbett, Gedanken vertieft in riesigen Stadien
Miese Gitarrenriffs, liebe das Rampenlicht
Fußball ist angesagt, dribbel im Sturm wie Kirsten, Kuntz oder Chapuisat
Pumpe ""What is Love"", ""Mr. Vain"", ""Ace of Base""
Kurz danach ""Ace of Spades""
Als ob's gestern war

[Part 2: Marteria]
Als ob's gestern war (gestern war)
Um ins Paradies zu komm'n, muss ich nur zwei Stationen mit der S-Bahn fahr'n
Angekommen zwischen Touristen und FKK
Haben unser eigenes Lloret de Mar
Sind Strandkinder, wir komm'n mit dem Stress nicht klar
Schule ist nur schön am letzten Tag
Oh, vergib uns, dass wir Helden war'n
Fackel' hier im Viertel aus Verseh'n vier Hektar ab
Tiefe Angst in meinem Augen, die nur meine Schwester sah
Als ob's gestern war, der Vollmond strahlt
Wär' er nicht so schön, könnte man sich diesen Leuchtturm spar'n
Hier gibt's kein Toys""R""Us, hier gibt's nur 'ne Broiler-Bar
Hammer und Sichel prahlen inmitten all der Deutschlandfahn'n

[Part 3: Casper]
Beckhausstraße, Bielefeld, Industriegebiet
Gegenüber der Miele-Fabrik, über der Tanke
Gestank immer von Diesel und Benzin in der Nase
Vor der Tür, wo man die Miete durchschiebt
Die Schornsteine so groß gebaut, jedem Traum im Weg
Bundesstraße so laut, Gedanken kaum zu versteh'n
Tags im Plattenladen steh'n, dann die Bar bis nachts befüll'n, voller Panik dass es ewig so geht
Als ob's gestern war
Elch an den Beats, Lump und Bobo mit an der Raps
Cool Edit Pro gecrackt, DJ Rob an den Decks
Lange vor ""So Perfekt"", lange, lange vor'm Ascheregen
Pimpulsiv, Timi, Shef alles recorden bei Bjet, yeah
Als ob's gestern war

[Part 4: Marteria]
Einmal um den Block jonglier'n, bin Hansa-Kind
Komm schon, wer will heute noch verlier'n?
Die Tage sind vorbei, an denen die dunklen Wolken zieh'n
Jetzt sieht man riesige Sonnenblumen an den Häusern blüh'n
Auferstanden aus Ruinen zu nagelneuen blauen Jeans
Üben Tricks mit 'nem Zippo - Wir sind aus Benzin
Uns're Vorbilder Wrestler, Straßengangs
Keine Zeit für Politik, weil jedes Parlament die Farben trennt
Kein Wunder, dass hier nachts auch mal die dicken Wagen brenn'
Sieht aus wie Tagesschau-Bilder, die man aus Jugoslawien kennt
Bin aufgewacht, der Schuss reißt mich aus der Nacht
Doch so hört sich's an, wenn hier irgendwo ein Traum zerplatzt

[Part 5: Casper]
War'n langer Weg aus'm Hardenkamp, in die Partystadt
Da wo dann immer Lampen an sind, wie Mardi Gras
Alex gesagt, dass ich es mach, bis es klappt
Alle gedacht nicht alle Tassen im Schrank
Als ob's gestern war
Battledrones, Hanse City, wir sind Baus
Freestyle mit Marten vor der Faust
Kinder des Zorns mit Sep' und A kam dann raus
667 zu Selfmade, verdammt was ein Chaos
Dann die Chronik, alle ""Mittelfinger hoch""
Mit Affenboss und Ilke zu den Shows
Nicht immer was los, aber beste Zeiten auf jeden
Bin gespannt wie die Scheiße weiter geht
Als ob's gestern war

[Part 6: Marteria]
Als ob's gestern war
Laufen durch die Beatstreet, Generation MTV
Weil MTV Musik spielt
Im Fernseh'n Tiny Toons, Freakazoid
Auf endlos Repeat das ""Sabotage"" Video von den Beastie Boys
Wir entscheiden uns für Hip-Hop
Alles andere zu eng, machen unsere Pullis selber - Wu-Tang
Ein Leben zwischen Truman Show und Kapuze hoch
Kammsport Galaktika, guck mal ich bin Roots Fan
Texte schreiben, keine Zeit verschwenden
Schlechte Alien-Bong-Poster an meinen vier Wänden
Den Jungs vor der Spielo darf man kein' Blick schenken
Bekomm' 'ne Ladung Gas von Weißschnürsenkeln
Als ob's gestern war

[Outro: Casper & Marteria // beide]
Yeah, als ob's gestern war
Yeah, als ob's gestern war
Yeah, yeah, als ob's gestern war
Neunzehnhunderzweiundachtzig
Cas und Ma

"
8980,8980,mois,1991,sme - keller gmbh,81,23.08.2019,29.08.2019,deutschrap,2019,23,
5389,5389,haftbefehl,1999 pt. 5 (mainpark baby),urban,90,01.05.2020,07.05.2020,deutschrap,2020,5,
20997,20997,kontra k,2 seelen,bmg rights,98,05.05.2017,11.05.2017,deutschrap,2017,5,"

[Hook: Kontra K & ?]
Ich hab' zwei Seel'n
In meiner Brust und sie führen Krieg
Ich hab' zwei Seel'n
Eine will Ruhe, die andere fliegt
Es werden noch zwei mehr
Denn es zerreißt-reißt-reißt dich wie Papier
Ich hab' zwei Seel'n
In meiner Brust und sie führen Krieg
Ich hab' zwei Seel'n
Eine will Ruhe, die andere fliegt
Doch sie bleiben eins
Bevor es mich zerreißt-reißt-reißt
Bleibt mein Körper wie ihr Käfig aus Granit (aus Granit)

[Part 1: Kontra K]
Zwischen Highlife und dem Fliegen, wenn ich 'ne Einheit mit meinem Team bin
Oder den Wunden, die nach einer Krise nur wieder verheilen bei meiner Familie
Wie ein Baum, die Blätter im Himmel, doch seine Wurzeln geh'n in die Tiefe
Feuer und Eis, wir schreien Stille, wir kämpfen nicht, wir führen Kriege
Keine Liebe, die wir geben, im Leben prasseln die Schläge
Auf dich ein wie der Regen, durch den wir geh'n
Alle meine Muskeln angespannt, verkrampft, eine Wand, die mit keinem redet
Denn dahinter kämpfen zwei Seelen ums nackte Überleben
Eine will Stille, die andere Sturm, eine Hand reißt ein, was die andere aufbaut
In einem Moment will ich ein Traumhaus und in 'nem anderen nur wieder draufhau'n
Ein Trümmer fällt in meinem Inneren unter 'ner Schicht aus Eis, das nicht auftaut
Aber niemals löst das Feuer in meinen Augen sich in Rauch auf

[Hook: Kontra K & ?]
Ich hab' zwei Seel'n
In meiner Brust und sie führen Krieg
Ich hab' zwei Seel'n
Eine will Ruhe, die andere fliegt
Es werden noch zwei mehr
Denn es zerreißt-reißt-reißt dich wie Papier
Ich hab' zwei Seel'n
In meiner Brust und sie führen Krieg
Ich hab' zwei Seel'n
Eine will Ruhe, die andere fliegt
Doch sie bleiben eins
Bevor es mich zerreißt-reißt-reißt
Bleibt mein Körper wie ihr Käfig aus Granit (aus Granit)

[Part 2: Kontra K]
Immer hin- und hergerissen, so viel Last auf meinem Gewissen
Denn wenn sich der Engel und der Teufel auf deinen Schultern nur streiten, liegt die Wahrheit meist dazwischen
Ja oder nein kennt kein vielleicht, zwischen Krieg und Frieden ist keine Mitte
Doch mit aller Kraft versuch' im Hirn nur die Stille und in meinem Chaos mich selber zu finden
Flieg' hoch in den Himmel, aber fall' dann hart auf den Boden der Realität
Träume los von Erfolgen unter einem Jahr, aber steh' mir nur selbst im Weg
Drei Schritte vor, wieder zwei zurück, doch hält mich nicht ab davon weiterzugeh'n
Erst mach' ich mich groß und dann red' ich mich klein, Mann, diese Welt macht schizophren
Doch ich werde stärker, meine Haut härter mit jeden Meter, den wir geh'n
Und flüster' den Geistern, die ich rief, in Richtung Wolken mein Gebet
Doch ich komm' klar, kein Problem
Und ein Blick in den Spiegel zeigt mir nur wieder mal ein Fenster zu zwei Seel'n

[Hook: Kontra K & ?]
Ich hab' zwei Seel'n
In meiner Brust und sie führen Krieg
Ich hab' zwei Seel'n
Eine will Ruhe, die andere fliegt
Es werden noch zwei mehr
Denn es zerreißt-reißt-reißt dich wie Papier
Ich hab' zwei Seel'n
In meiner Brust und sie führen Krieg
Ich hab' zwei Seel'n
Eine will Ruhe, die andere fliegt
Doch sie bleiben eins
Bevor es mich zerreißt-reißt-reißt
Bleibt mein Körper wie ihr Käfig aus Granit (aus Granit)

[Outro: ?]
Zwei Seel'n
Zwei Seel'n
Zwei Seel'n
Zwei Seel'n



"
10062,10062,lil lano,20 tausend euro bar,ananassquad,63,07.06.2019,13.06.2019,deutschrap,2019,6,"

[Songtext zu „20 Tausend Euro Bar”]

[Intro]
Zwanzigtausend Euro bar
Ey, skrrt, skrrt

[Hook]
Ich komm' in den Laden, zwanzigtausend Euro bar (zwanzig)
Überall VIP, denn Lil Lano ist ein Star (Star)
Sie weiß, ich bin untreu, doch sie lässt kein'n ander'n ran
Ich wusste, ich schaff' es, ja, ich wusste, irgendwann (ey, ey)
Ich komm' in den Laden, zwanzigtausend Euro bar (zwanzigtausend)
Jeder kennt mein'n Namen, such mein'n Namen in den Charts
Ich schwör', ich  werd' drippen, bis zu meinem letzten Tag (Tag)
Sie hören meine Songs in jeder Stadt in diesem Land (ey)

[Part 1]
Sag mir, wer lebt diesen Lifestyle so? (sag mir, wer?)
Bitches haben Nase weiß vom Koks, yeah (vom Koks)
Ich nehm' mein Samsung ist mein iPhone tot (iPhone tot)
Du siehst, ich balle, meine Seiten null (ball'n, ey)
Ich bin gerade essen, Grill Royal, das Steak ist medium (ey, ja)
Ich nehm' eine Pille und ich flieg', als wär' es Helium (ey, ja)
Groupies an der Fensterscheibe und sie machen Video
Lano ist am ballen, andere Rapper gucken Digimon
Ace of Spades Champagner und zwei Bitches in der Badewanne
Ich könnt' gerade shoppen gehen, doch die Mädchen warten gerade
Labels schieben Filme, weil ich mir einfach nix sagen lasse
Sag, hörst du den V8-Motor, wenn ich durch die Straßen fahre?

[Pre-Hook]
Guck, der Dom Perignon auf Eis
Wenn du mich suchst, ich bin nicht hier, sondern grad in Dubai
Wenn ich balle, mach' ich Körbe mit den Js von Nike
Wenn ich draußen bin, dann call' ich dich vielleicht auf FaceTime

[Hook]
Ich komm' in den Laden, zwanzigtausend Euro bar (zwanzigtausend Euro bar)
Überall VIP, denn Lil Lano ist ein Star (ein Star)
Sie weiß, ich bin untreu, doch sie lässt kein'n ander'n ran (niemand)
Ich wusste, ich schaff' es, ja, ich wusste, irgendwann (ey)
Ich komm' in den Laden, zwanzigtausend Euro bar (zwanzigtausend)
Jeder kennt mein'n Namen, such mein'n Namen in den Charts
Ich schwör', ich  werd' drippen, bis zu meinem letzten Tag (drip)
Sie hör'n meine Songs in jeder Stadt in diesem Land

[Part 2]
Ich werd' begrüßt, wenn ich zu Fendi geh' (geh')
Check auf dem Wagen mal das Benz-Emblem (komm)
Ich bin am drippen, trag' 'ne Tennis-Chain
Ich werd' vor 30 schon in Rente geh'n
Ey, merkst du nicht, wie jeder von den ganzen Rappern Panik kriegt (ey)
Ich trag' Sonnenbrille, weil die Augen wieder glasig sind (yeah)
Auf dem Sweater steht Gucci drauf, damit ihr die Marke seht (Marke seht)
Bin ich in Berlin, dann fahr' ich zum Shoppen ins KaDeWe (ey, ey)
Jibbit, Zippo-Feuerzeug und dazu eine Capri Sonne (ey, ja)
Ich steh' hier in Deutschland auf, doch fliege dann nach Paris shoppen (fliege)
Lebe wie ein König, obwohl ich nur bisschen Money wollte (Money)
Du weißt, wer wir sind, wenn wir auf Goose auf deine Party kommen

[Pre-Hook]
Guck, der Dom Perignon auf Eis
Wenn du mich suchst, ich bin nicht hier, sondern grad in Dubai
Wenn ich balle, mach' ich Körbe mit den Js von Nike
Wenn ich draußen bin, dann call' ich dich vielleicht auf FaceTime

[Hook]
Ich komm' in den Laden, zwanzigtausend Euro bar (zwanzigtausend Euro bar)
Überall VIP, denn Lil Lano ist ein Star
Sie weiß, ich bin untreu, doch sie lässt kein'n ander'n ran (keinen ran)
Ich wusste, ich schaff' es, ja, ich wusste, irgendwann
Ich komm' in den Laden, zwanzigtausend Euro bar (zwanzigtausend)
Jeder kennt mein'n Namen, such mein'n Namen in den Charts (in den Charts)
Ich schwör', ich  werd' drippen, bis zu meinem letzten Tag (letzten Tag)
Sie hören meine Songs in jeder Stadt in diesem Land

[Outro]
In jeder Stadt
In diesem Land, ey, ey, ey

"
2847,2847,ćelo & abdï feat. bonez mc,20 zoll mae,385ideal,48,23.10.2020,29.10.2020,deutschrap,2020,23,
12096,12096,noah [de],200km/h,,97,18.01.2019,24.01.2019,deutschrap,2019,18,"

[Songtext zu „200KM/H“]

[Part 1]
Paffe Dope im Hotel
Bring mir Paper und Soda, mach' 10k im Monat, Akhi
Baller' viel Cannabis, kafa mies, Paradies, roll' im Benz
Aston Martin, häng' mit Ali
Penner fragen mich nach Patte, fick auf alle
Fick sie alle, Egomane, jaa
Mann, solang ich auf die Straße geh' und drücke Pakete
Zähl' ich Scheine, sitz' im Coupé
Alles für die Familie, mach' weiter Marketing, Cousin

[Hook]
Alé, drück auf das Pedal und roll' schnell
Mit 200 km/h Richtung Hölle, Hombre
Leb' kriminal, fick Top-ten
Lamborghini, ich geb' Gas, importier' die Knospen
Alé, drück auf das Pedal und roll' schnell
Mit 200 km/h Richtung Hölle, Hombre
Leb' kriminal, fick Top-ten
Lamborghini, ich geb' Gas, importier' die Knospen

[Part 2]
Sammel' Kontakte vom Ende der Welt
Gras ist vom Ghetto, doch brennt in Hotels
Viel Unterwegs, aber kenn' nur mich selbst
Yallah, renn, paff, steig in Benz CLS, alé
Uh, MM unterm Beifahrersitz
Check, heute kein Cannabis
Aus dem Weg, wenn ich einparken will
Yallah, geh, wenn ich einparken will, CLS, alé
(Pow, pow, pow, pow) Bleib' in der Luft wie ein Kolibri
Vier Jahre auf Straße non-stop, meine Jungs und ich rollen das OCB
Ey, Ali sagte, „Du wirst ficken!“ (Ja)
Bruder, gib mir ein Jahr (Okay)
Fick auf „Sky is the limit“ (Check), uni-universal
Baller' und greife zur Uzi
